カード番号,図鑑番号,カード名,レアリティ（星の数）,上,右,下,左,合計,属性,属性数値
1,1,おともだち,1,5,5,2,2,14,,0
2,2,キミと××××したいだけ,1,1,4,7,1,13,,0
3,3,魔性少女,1,3,4,3,3,13,,0
4,4,花喰み,1,3,7,2,1,13,,0
5,5,乙女心中,1,3,3,3,4,13,,0
6,6,ゾクゾク,1,2,5,2,5,14,,0
7,7,少女の日の思い出①,1,4,2,3,4,13,,0
8,8,少女の日の思い出②,1,2,5,5,2,14,,0
9,9,HANAGATAMI,1,6,1,3,4,14,,0
10,10,すき、きらい,1,2,2,4,6,14,,0
11,11,そっくりさん,1,4,2,5,3,14,,0
12,12,ノア,1,5,2,5,2,14,,0
13,13,botばっか,1,2,4,3,5,14,,0
14,14,薔薇色の月,1,4,3,3,3,13,,0
15,15,もーいーかい？,1,4,5,3,3,15,,0
16,16,輪廻る,1,2,3,4,4,13,,0
17,17,ホラークイーン,1,2,4,5,4,15,,0
18,18,ハイネ,1,2,2,7,2,13,,0
233,19,魔小籠包,1,7,2,3,2,14,,0
234,20,キミと担担担麺したいめん,1,2,1,3,7,13,,0
235,21,キクラゲのITAMEMONO,1,4,1,1,7,13,,0
236,22,かき、ふらい,1,1,3,7,2,13,,0
199,23,中華喫茶ふぁんとむ,2,7,1,1,7,16,,0
19,24,[お揃いのしるし],2,5,4,6,5,20,もな,1
20,25,[スクショ撮って流すね],2,3,7,5,5,20,もな,1
21,26,[血が見たい],2,6,6,3,4,19,もな,1
22,27,[m-m-m-mimesis],2,5,3,7,5,20,もな,1
23,28,[水銀燈が揺れてゐる],2,2,2,7,7,18,もな,1
24,29,[死体に群がる通俗人等],2,2,7,7,2,18,もな,1
25,30,[逃げ場を亡一味],2,7,7,2,2,18,もな,1
26,31,[ここではないどこかに],2,7,7,3,2,19,もな,1
27,32,[裁きの時],2,6,7,2,3,18,もな,1
210,33,[正体不明の魔物に牙を向け],2,6,4,7,1,18,もな,1
28,34,[いつもの約束],2,6,5,3,5,19,美雨,2
29,35,[嘘に遑あらず],2,5,5,5,5,20,美雨,2
30,36,[血が見たい],2,6,2,6,6,20,美雨,2
31,37,[ほら虜],2,1,7,3,7,18,美雨,2
32,38,[嫌味や僻みは痛みなし],2,2,6,3,6,17,美雨,2
33,39,[目が覚めて],2,6,3,7,3,19,美雨,2
34,40,[裁きの時],2,2,7,2,7,18,美雨,2
35,41,[失態コミュニケーション],2,7,2,7,2,18,美雨,2
36,42,[曼陀羅華模様の夜],2,7,6,3,3,19,美雨,2
208,43,[when I… think about fear],2,7,4,4,4,19,美雨,2
46,44,[おいでください],2,6,3,7,3,19,百花,3
47,45,[裏垢行って叩きます],2,7,1,3,7,18,百花,3
48,46,[血が見たい],2,5,6,4,6,21,百花,3
49,47,[お遊び],2,6,6,2,6,20,百花,3
50,48,[駄々羅な暮らし],2,3,6,7,2,18,百花,3
51,49,[流れ落ちるしずく],2,7,3,2,6,18,百花,3
52,50,[裁きの時],2,2,3,6,7,18,百花,3
53,51,[綺麗な緋色],2,2,6,4,7,19,百花,3
54,52,[うねる人身蛇尾],2,7,7,1,3,18,百花,3
205,53,[願わくば],2,1,3,7,7,18,百花,3
37,54,[命懸けの指切り],2,4,3,6,6,19,凛花,4
38,55,[降霊の占い],2,3,7,7,1,18,凛花,4
39,56,[血が見たい],2,4,3,7,3,17,凛花,4
40,57,[なんて嘘だから！],2,7,3,4,5,19,凛花,4
41,58,[水面を揺らす夜光蝶],2,6,6,6,2,20,凛花,4
42,59,[長い夢を見ていた],2,7,5,5,3,20,凛花,4
43,60,[裁きの時],2,5,5,3,7,20,凛花,4
44,61,[今までどこにいたのですか？],2,2,6,6,6,20,凛花,4
45,62,[ご都合主義の墓場じゃ],2,4,6,3,6,19,凛花,4
209,63,[あなたを失うのは怖くない],2,7,5,5,1,18,凛花,4
55,64,Moth ti a flame,3,7,3,2,8,20,,0
56,65,フレイム・メドゥーサ,3,4,7,3,7,21,,0
57,66,百鬼夜行,3,7,8,4,2,21,,0
58,67,ふぁんとむ♡らんど,3,3,7,3,7,20,,0
59,68,Horror Reading Musical,3,8,4,5,4,21,,0
60,69,THE FIRST TAKE①,3,4,7,6,5,22,,0
61,70,THE FIRST TAKE②,3,7,1,7,7,22,,0
64,71,怪忌蝶寫眞集 Maze EP.0,3,7,8,4,3,22,,0
65,72,CABINET OF DOLLS 人形蒐集,3,3,5,6,8,22,,0
62,73,まーさ,3,8,4,1,7,20,,0
66,74,ぐるめ,3,5,5,5,8,23,,0
181,75,しおん,3,3,8,7,3,21,,0
182,76,もち,3,5,8,2,7,22,,0
63,77,クラウドナイン,3,1,4,8,7,20,,0
204,78,おともだち,3,8,4,8,2,22,,0
217,79,キミと××××したいだけ,3,3,3,8,7,21,,0
218,80,魔性少女,3,3,8,4,8,23,,0
219,81,花喰み,3,4,7,5,7,23,,0
220,82,乙女心中,3,2,6,6,7,21,,0
221,83,ゾクゾク,3,5,8,5,5,23,,0
222,84,すき、きらい,3,1,7,7,7,22,,0
223,85,botばっか,3,8,4,1,8,21,,0
224,86,薔薇色の月,3,4,8,4,7,23,,0
225,87,もーいーかい？,3,7,2,8,5,22,,0
226,88,ホラークイーン,3,6,5,8,3,22,,0
227,89,輪廻る,3,7,7,7,1,22,,0
228,90,HANAGATAMI,3,6,6,6,6,24,,0
229,91,ノア,3,7,4,4,8,23,,0
230,92,そっくりさん,3,2,6,8,6,22,,0
67,93,[あなたの逃げ場は私],3,1,8,3,8,20,もな,1
68,94,[魅力が引き寄せる],3,4,6,4,7,21,もな,1
69,95,[生きてるって感じさせて],3,2,8,4,7,21,もな,1
70,96,[love my life],3,6,4,7,4,21,もな,1
71,97,[月花 陶酔 陶酔して],3,7,4,7,3,21,もな,1
72,98,[紛いもの],3,8,8,2,3,21,もな,1
73,99,[ウサギのフリはお任せあれ？],3,7,3,6,4,20,もな,1
74,100,[あたしを全部否定],3,4,6,8,4,22,もな,1
75,101,[オマエは明暗解さず],3,5,8,6,3,22,もな,1
